Run	fMCS	C00001	C00002	C00003	C00004	C00008	C00009	C00010	C00011	C00024	C00026	C00036	C00042	C00091	C00122	C00149	C00158	C00311	C00390	C00399	C00417
0	0	0.0	-7.170782072873786	-6.318499471576333	-9.08312022845215	-7.766466727261112	-4.438110171342507	-6.47202792678528	-11.205440765222267	-5.976643326047545	-7.610059053487751	-15.639380081110563	-7.2903712287155855	-6.568654713730454	-7.577172261143225	-6.73227372845305	-4.848439215459212	-13.219645500210882	-7.600902459542082	-7.600902459542082	-10.622896576285
0	10	0.0	-6.873531265446419	-7.082378763632252	-9.350351575223648	-7.800593974053948	-4.443068564384541	-6.753957203181078	-11.205440765222267	-6.063435602111087	-7.24837409718711	-15.679732369620353	-7.187287807014828	-6.756413712370346	-7.579968530372227	-6.634877454830386	-4.600598110866568	-13.539739263249146	-7.654683548275978	-7.652949822537523	-10.79363264872604
0	20	0.0	-6.8630422980984145	-6.957485488347499	-9.322421457151368	-7.606378835084879	-4.419411159743243	-7.078166724952389	-11.205440765222267	-6.029819339674075	-7.631834832401215	-15.571823734057078	-7.611329477228032	-6.795694298931506	-7.778095275651177	-6.6224606712613205	-4.904157342559049	-13.576534274932884	-8.103438228097625	-7.1284307544794405	-10.888671911543566
0	30	0.0	-6.3945857454695805	-6.826911787745287	-9.163529440311054	-8.21764126018765	-4.460216953900772	-6.462159801040461	-11.205440765222267	-5.7499691813060405	-7.307101277344459	-15.638639466164657	-7.629340131755492	-6.530135204325038	-7.989942903354934	-6.64535922680056	-5.241412590846475	-13.558088097670957	-8.37776711656662	-6.970912376350921	-11.326264892288748
0	40	0.0	-6.246093958347717	-6.80431823460087	-9.201179307896627	-8.279265782098781	-4.360023736046187	-6.565666955992528	-11.205440765222267	-5.654555199093213	-7.282712913986827	-15.75403016095118	-7.499142376540565	-6.346078003383244	-7.919498290109582	-6.6520733776382714	-5.151451437965504	-13.565496178832259	-8.454651885914613	-6.896962689177537	-11.378486337499563
0	50	0.0	-6.233562472206749	-6.066347364605893	-8.76784874643465	-8.193323558674978	-4.222293733813072	-6.32180898541941	-11.205440765222267	-6.255881887637194	-7.62413757436358	-15.321827150462692	-7.123484503334874	-6.290093135438042	-7.8376546192696575	-6.488047246664208	-5.966877442917197	-13.8654861419107	-8.925944069393468	-7.79916474068916	-11.076783094971608
0	60	0.0	-6.083305791232771	-6.413694192827667	-8.819663148092909	-7.99651912595188	-4.072138488617357	-5.93160164038177	-11.205440765222267	-6.494681047543772	-7.713655248533965	-15.384007749510443	-7.292482290203944	-6.193180522467753	-7.637345010640702	-6.706849366155863	-5.706986638372151	-14.111287367812466	-9.089971313299047	-7.831807664230606	-11.173443360947545
0	70	0.0	-5.993172879702093	-6.329211010687358	-8.841851242545681	-7.931010756002984	-3.9534655073138536	-5.908522029885886	-11.205440765222267	-6.507260934618055	-7.705155192578729	-15.317039108041893	-7.1670373748745755	-6.093234346511709	-7.620425741243418	-6.701416834254978	-5.610659609744052	-14.065212894479242	-9.026516347151844	-7.836213760612577	-11.219872154108616
0	80	0.0	-5.926271187163756	-6.351814478785164	-8.848654656386236	-7.816642913241475	-3.9169189876016612	-5.888676566606062	-11.205440765222267	-6.454581405067447	-7.559849101268728	-15.291085605238324	-6.978359673376878	-6.047327365099411	-7.760976597170581	-6.720866374678614	-5.689833954575301	-14.066738379370033	-9.005197275063498	-7.877792003634924	-11.20050397368039
0	90	0.0	-6.150868447386836	-6.379004112926338	-8.754240569545273	-7.874322612421582	-3.9552866350922526	-6.174550624097997	-11.205440765222267	-6.0421188989526575	-7.707367805120596	-15.564064096027677	-7.046021171021373	-5.7310141780305	-7.864373391143104	-6.53837582615106	-6.0496145502123815	-14.55073405648344	-8.540492164950953	-7.97504960110602	-11.25160216642527
