Run	fMCS	C00001	C00002	C00003	C00004	C00008	C00009	C00010	C00011	C00024	C00026	C00036	C00042	C00091	C00122	C00149	C00158	C00311	C00390	C00399	C00417
0	0	0.0	-7.170782072873786	-6.318499471576333	-9.08312022845215	-7.766466727261112	-4.438110171342507	-6.47202792678528	-11.205440765222267	-5.976643326047545	-7.610059053487751	-15.639380081110563	-7.2903712287155855	-6.568654713730454	-7.577172261143225	-6.73227372845305	-4.848439215459212	-13.219645500210882	-7.600902459542082	-7.600902459542082	-10.622896576285
0	10	0.0	-7.267225700222246	-6.4720415616282425	-9.008199240771942	-7.689343741382035	-4.250525739442095	-6.424972731588327	-11.205440765222267	-5.639123358943252	-7.467263492241445	-15.85737769698743	-7.451653362353362	-6.385934559064848	-7.603876320723137	-6.586617256027216	-5.193224404731257	-13.193552098773353	-7.332570022768639	-7.867258242882668	-10.763505570337408
0	20	0.0	-7.411435753497253	-6.319006258118809	-8.699376805139176	-7.672759456851984	-3.9438573381407056	-6.4038094025329215	-11.205440765222267	-5.587296793605193	-7.841491003815356	-15.826319898122653	-7.682473390059302	-6.287337404690626	-7.662467654737194	-6.456319425369737	-5.247953947711124	-13.254307903504609	-7.1198917347358455	-7.852049584227351	-10.957962682704776
0	30	0.0	-7.535708047878647	-6.3622160027554004	-9.009786398260191	-7.646925663583313	-4.2645276438543736	-6.100395505237915	-11.205440765222267	-5.399644076504122	-7.837466460929273	-15.561474635719636	-7.533614519633599	-6.093521616863024	-7.626858993916177	-6.377485510927501	-5.277487797329129	-13.213111868993348	-7.138304117905422	-7.874204174429227	-11.25763044476272
0	40	0.0	-7.569113813344539	-6.434313749176371	-8.870133047656603	-7.576719888258439	-4.260363352302795	-5.9995641430755065	-11.205440765222267	-5.535017664598246	-7.817102375556994	-15.64891841782311	-7.634560558778681	-6.2586093516766566	-7.687999938588373	-6.341451849648498	-5.181913304220495	-13.124290057619184	-7.28603700377559	-7.886686192173086	-11.241070664753739
0	50	0.0	-7.496239827011621	-6.542292305347061	-8.996840222407403	-7.315819647798429	-4.1319870001919785	-6.346249646928561	-11.205440765222267	-5.553886299687165	-7.71408323744256	-15.558402889578073	-7.243168716283941	-6.773859920158673	-7.691048569627838	-6.4316568467876785	-5.078179454973807	-13.134879295211116	-7.49005800120195	-8.06052944600905	-11.152574362827368
0	60	0.0	-7.814684555418956	-6.448538234685127	-9.609414311833856	-7.276590156721526	-4.3664719803826495	-6.021596942536863	-11.205440765222267	-5.9955426492873265	-7.745009487681583	-15.001096075194937	-7.776831308396234	-6.587956109216058	-7.730657031220062	-6.538107002372441	-5.2977167963453535	-13.785504580382133	-7.495926837897316	-7.923264340341564	-11.466593248551087
0	70	0.0	-7.826105129934655	-6.530871519117072	-9.526085780695926	-6.931501685406991	-4.633427514451344	-6.1194393805205145	-11.205440765222267	-6.31483235658386	-7.759126354540525	-14.682511915790359	-7.514792663694968	-6.524011819010174	-7.83546360918234	-6.706747925191795	-5.313523087741384	-14.157500506425519	-7.494962820235214	-7.92455816826595	-11.423550707746218
0	80	0.0	-7.8300054419544365	-6.422153402642058	-9.208967599655784	-7.385299519317316	-4.510261689113115	-6.29836370058064	-11.205440765222267	-6.331960743418808	-7.795118367250981	-14.986612424628799	-7.547145245894315	-6.478358610143537	-7.746617009218981	-6.635170268600324	-5.1175151725314745	-14.239516519578538	-7.063369286735433	-8.148200425747056	-11.604412977445607
0	90	0.0	-7.749734114580622	-7.007360987829533	-8.89744958657206	-7.550328649656938	-4.912973519381489	-6.665869362193505	-11.205440765222267	-6.559200220829987	-7.424058631031243	-15.301099688051886	-7.771980153909559	-5.884786039072528	-7.634338155116265	-6.291064154885458	-4.91754105679577	-14.550309934871715	-6.986801839298344	-7.777762396753227	-11.35333369292026
0	100	0.0	-7.557068960176819	-6.780263014955427	-8.741265996642325	-7.918644188278738	-5.038438575920304	-6.65948934267428	-11.205440765222267	-6.502341793703689	-7.44262250790934	-15.859556790900506	-7.74691445073903	-5.76837500657559	-7.638005733107204	-6.631469579835071	-4.814986363395738	-14.75638955997209	-6.944722957851688	-7.874991093822868	-11.72708149314403
0	110	0.0	-7.831481645007675	-6.8190133525416465	-8.670749146263095	-7.898344868930752	-5.031981230425819	-6.630208979616162	-11.205440765222267	-6.592311705117989	-7.493902332793339	-15.72794102983484	-7.769444065217908	-5.90076625610205	-7.587678816365736	-6.59186768785458	-5.065254853200378	-14.700665831397268	-7.140908650450793	-7.805853350280138	-11.733802195270712
0	120	0.0	-7.943564188533179	-6.996388201191746	-8.839631898115513	-7.783218971239083	-5.1212364859400115	-6.605944007437457	-11.205440765222267	-6.54648757472383	-7.441959679800829	-15.757094319516382	-7.669524866488725	-6.018572041269055	-7.5939102024314415	-6.563788984280591	-5.175171289464643	-14.628338450811166	-7.177251953461623	-7.9525142643849565	-11.620384578123007
0	130	0.0	-7.961223506145662	-7.072173846307188	-8.923043310733721	-7.802056449333806	-5.163846249709608	-6.620293817461954	-11.205440765222267	-6.545336966023316	-7.458584641026341	-15.743963550123448	-7.668364340470929	-6.049231858831834	-7.609378169116545	-6.416026867748644	-5.287278254976417	-14.72374410673523	-7.270555835421342	-8.018002664958333	-11.672523180341452
0	140	0.0	-7.867440038839777	-7.329263078430427	-9.063343174222341	-7.4170244705829935	-5.020980943771138	-6.379124488568767	-11.205440765222267	-6.399084208575502	-7.251670849045258	-15.63392873736606	-7.6157176128144854	-5.973335679440365	-7.698756632141503	-6.399608704301216	-5.370161995242024	-14.680075217938143	-6.924590323998409	-7.949368923120925	-11.576374626697042
0	150	0.0	-7.799407853887151	-7.0905723016112	-9.234120387063067	-7.368217528367129	-4.722014655349327	-6.580675231356691	-11.205440765222267	-6.516799926059913	-7.303747653383321	-15.467481032318005	-7.566296301955782	-5.835671198220646	-7.729094930874758	-6.500343724337372	-5.220409065881292	-14.729194612092066	-6.830865396957255	-7.979141297269611	-11.473826213415633
0	160	0.0	-7.584453114826577	-6.9223877891108145	-9.21244456767568	-7.8002563282892154	-4.830672462415307	-6.431433695130374	-11.205440765222267	-6.442291949582677	-7.375927486349387	-15.273823992094044	-7.581833604961881	-6.530951364351297	-7.776623835554091	-6.586686503301054	-4.882609306918766	-15.007541232487052	-6.907380371269427	-8.071452862363564	-11.68673986913748
0	170	0.0	-7.705097643962517	-6.80791396094662	-9.21844315745403	-7.255930187760729	-5.174240104016609	-6.515710350473375	-11.205440765222267	-6.164602666198106	-7.358931126297771	-15.46776114526244	-7.674122762392545	-6.683936408017965	-7.759343454366294	-6.493258730346366	-4.505926795183081	-14.764224710610979	-6.880547757814097	-8.104158978863133	-11.844299337464355
