Run	fMCS	C00001	C00002	C00003	C00004	C00008	C00009	C00010	C00011	C00024	C00026	C00036	C00042	C00091	C00122	C00149	C00158	C00311	C00390	C00399	C00417
0	0	0.0	-7.170782072873786	-6.318499471576333	-9.08312022845215	-7.766466727261112	-4.438110171342507	-6.47202792678528	-11.205440765222267	-5.976643326047545	-7.610059053487751	-15.639380081110563	-7.2903712287155855	-6.568654713730454	-7.577172261143225	-6.73227372845305	-4.848439215459212	-13.219645500210882	-7.600902459542082	-7.600902459542082	-10.622896576285
0	10	0.0	-7.064823074100947	-6.436556933738126	-9.050910791905155	-7.837402500015018	-4.467450360941147	-6.51810987071088	-11.205440765222267	-6.038999012823658	-7.633443837363173	-15.627535590252123	-7.295413575532904	-6.544791427432274	-7.589037354291822	-6.6949398344576165	-4.879187243299091	-13.294015427799296	-7.622581630937487	-7.642072961345908	-10.58917743123302
0	20	0.0	-7.11377402148722	-6.4337373548409165	-9.010206249258278	-7.831196449548869	-4.5233135432790315	-6.489770583482723	-11.205440765222267	-6.023057691553813	-7.6340400811937466	-15.578471088834512	-7.300787838054543	-6.514647555204013	-7.603057457502688	-6.725390073926731	-4.890965267082888	-13.28502005767986	-7.601581871091577	-7.679620720903137	-10.628146305545739
0	30	0.0	-7.148023897192813	-6.39551830519738	-9.004936410163166	-7.77697241338345	-4.505339450350745	-6.43983133995655	-11.205440765222267	-6.047500188148787	-7.633596316044215	-15.560644598875328	-7.343986630780786	-6.529728541048728	-7.604541391037167	-6.731922068468474	-4.853271204791505	-13.288041129523046	-7.591667117894376	-7.590763258409343	-10.676051727744932
0	40	0.0	-7.165079185454137	-6.32505582850859	-9.043409254970465	-7.728263391669439	-4.494310595234221	-6.476436164176565	-11.205440765222267	-6.056818540819586	-7.606711603485102	-15.605195062783766	-7.389192893914557	-6.687621317384274	-7.606575355358535	-6.710664102173121	-4.851093855945175	-13.273369886517655	-7.670794205461073	-7.565297381670592	-10.705213328588458
0	50	0.0	-7.170820904771912	-6.392478565047569	-9.075501611391582	-7.715943190432006	-4.531937402124886	-6.459271324417016	-11.205440765222267	-6.0723005208695335	-7.619407363339105	-15.662108942763613	-7.379480005601761	-6.604940516232633	-7.588772590485203	-6.713481941124988	-4.930019848378078	-13.230360098007708	-7.817859725924052	-7.505436823092308	-10.84771298809581
0	60	0.0	-7.202757041427712	-6.273739484510135	-9.081826721107241	-7.666986353442459	-4.544412460969974	-6.427589840933112	-11.205440765222267	-6.102166064217885	-7.5986812477305214	-15.669571465402408	-7.338509409634773	-6.659160395685949	-7.585591738669975	-6.725863234455794	-4.881693357378861	-13.253289890203947	-7.806694656639692	-7.511158690356239	-10.893272928896954
0	70	0.0	-7.147859317713614	-6.257637251619922	-9.091409091838871	-7.705477260130976	-4.557612967303423	-6.382393263020931	-11.205440765222267	-6.111262571773086	-7.596625962259098	-15.566109527954904	-7.35349801206348	-6.584877227521486	-7.578556742569827	-6.715262512483795	-4.972555688400351	-13.301599109667677	-7.8369877473116984	-7.450159128658951	-10.82305876348515
0	80	0.0	-7.1386534464511495	-6.223569176995187	-9.082137918715105	-7.683570945597474	-4.564393775045769	-6.387794255399414	-11.205440765222267	-6.115308334362671	-7.6009821697494235	-15.588240216304353	-7.365095336793008	-6.566019198910359	-7.6254352173119555	-6.731681915602427	-4.961427519003546	-13.31813542449425	-7.793471654753246	-7.478481960998042	-10.838119546802133
0	90	0.0	-7.127300213876989	-6.387062265476809	-8.993611810386753	-7.650098381445413	-4.606106038920627	-6.4950261575865795	-11.205440765222267	-6.073230673910595	-7.647674783826891	-15.521859595978412	-7.3480432951422285	-6.5545694979972176	-7.581294394133367	-6.690011940060414	-5.05709673348987	-13.447912506655259	-7.770104736438488	-7.43662405575458	-10.926623103638569
0	100	0.0	-7.152531884183797	-6.400962034188963	-8.996305419712394	-7.607060907602191	-4.662110912027181	-6.473090326998823	-11.205440765222267	-6.1148369419257005	-7.654653884995573	-15.521773493545812	-7.395549582037854	-6.550510776916011	-7.59799408171788	-6.70915382627972	-5.0505313949264306	-13.44578095147914	-7.777748350651236	-7.3947155827469775	-10.988167198027236
0	110	0.0	-7.1661367901105795	-6.397699706441168	-8.9768723515926	-7.6168124689173915	-4.679995908199244	-6.500015685987982	-11.205440765222267	-6.101437902180258	-7.681994075069514	-15.523511330932905	-7.372688235296356	-6.544030236634341	-7.589722053295483	-6.706750257091266	-5.024723105831903	-13.444707800291193	-7.759397778385721	-7.405023244355371	-10.995929165718705
0	120	0.0	-7.154354434933141	-6.396640246116469	-8.965749320319098	-7.594613398974457	-4.679259808832711	-6.480296198147524	-11.205440765222267	-6.081922761863375	-7.664866757101978	-15.525326382831206	-7.366813959180869	-6.520572801719997	-7.5782226609863015	-6.70206675678549	-5.012311058809419	-13.431207783129041	-7.764362033236513	-7.429590473962595	-11.019510781089057
0	130	0.0	-7.132055203487222	-6.388281172259274	-9.012135612104496	-7.627754019582825	-4.74178095620639	-6.4968249726114715	-11.205440765222267	-6.068094075068419	-7.677060855273282	-15.530706314945812	-7.416395477064069	-6.500798645247394	-7.614487454195388	-6.728200645829717	-5.015080043038659	-13.427343445927889	-7.793737702444053	-7.406098705799207	-11.021884500634714
0	140	0.0	-7.16525664059161	-6.373410238368626	-9.033951284911849	-7.6491498408887635	-4.75080014627004	-6.566271458110483	-11.205440765222267	-6.017062778452583	-7.606431695398083	-15.573691102729219	-7.368560907154129	-6.547324781151158	-7.58134950967831	-6.697739012007116	-4.994082033187844	-13.445834240659705	-7.806750148279589	-7.3947307019498325	-11.033161902689338
0	150	0.0	-7.128355669725249	-6.356879996750827	-8.998045115631596	-7.712126407787752	-4.760574588370599	-6.660597332447207	-11.205440765222267	-6.146327504447599	-7.687193682982043	-15.47854704325687	-7.369086730922541	-6.583317631778293	-7.57829322972454	-6.686200282539568	-4.991570599645201	-13.475984105026585	-7.778884536035923	-7.423713531305264	-10.984569417387604
0	160	0.0	-7.1020265711656965	-6.32005629036091	-8.985346165107574	-7.753274731120033	-4.759109357759465	-6.66383383219125	-11.205440765222267	-6.181938483248952	-7.639483932930889	-15.476421073188934	-7.32029763272269	-6.6074558719287895	-7.59495740543119	-6.72502126299338	-5.013305342934219	-13.484986845135802	-7.752035706770275	-7.436745011254494	-10.995154591955867
0	170	0.0	-7.081634721217563	-6.29066930803654	-8.961141530183646	-7.740268451216556	-4.75802506450188	-6.641399969471118	-11.205440765222267	-6.18895571449827	-7.6391439132821555	-15.514000799020844	-7.30367193538939	-6.6017858933609785	-7.58596853900596	-6.701964775392726	-4.97122962227817	-13.480139763351051	-7.758587033270217	-7.407363786383334	-11.005656679563796
0	180	0.0	-6.988789241450803	-6.26004757011256	-8.917874146426918	-7.759658520743876	-4.82964652194549	-6.608796541567462	-11.205440765222267	-6.212671356555482	-7.635192221652579	-15.496052058153865	-7.248685055507653	-6.564240587184709	-7.592292021807341	-6.711245682595361	-5.026303689458064	-13.488323368912017	-7.866280341081998	-7.407636636383723	-11.049539170358978
0	190	0.0	-7.048003420501669	-6.287946375717005	-8.86941353802522	-7.766162934040783	-4.855991572123534	-6.61134487048832	-11.205440765222267	-6.27280049356355	-7.590332602244044	-15.500753757366414	-7.154449085193196	-6.523576204034504	-7.588882812849989	-6.704647227454304	-4.982484331303972	-13.464200628268475	-7.863682632657119	-7.399090018847386	-11.031245395169833
0	200	0.0	-7.148322599467929	-6.274566065389493	-8.953338071813429	-7.697711282155374	-4.906789396396493	-6.576013370382002	-11.205440765222267	-6.330611571243252	-7.6358734083433495	-15.491203137527544	-7.101149971951509	-6.510097328567098	-7.594826100525952	-6.71867822914235	-5.126471853310222	-13.523508957661862	-7.834729790575638	-7.363459415226577	-11.0799272057446
0	210	0.0	-7.130619650076546	-6.314021531352631	-8.963128874046225	-7.720797570947577	-4.883284357172797	-6.639345531424929	-11.205440765222267	-6.300711733800747	-7.64066418071102	-15.468217399843684	-7.021596329139226	-6.47005771127764	-7.597497715078045	-6.7034243093867145	-5.155188637826919	-13.448536771413254	-7.75939557197703	-7.398154950534063	-11.04503272506341
0	220	0.0	-7.124869138112766	-6.3422243902958755	-8.97684380644764	-7.7373346229908755	-4.898875157316486	-6.6644556193917674	-11.205440765222267	-6.361485221107126	-7.664594888894649	-15.441194531700198	-7.008486957146064	-6.5178172493162085	-7.581848524166208	-6.699996446788538	-5.104760046643703	-13.452442611535478	-7.770819086820233	-7.367688910525052	-11.025555405624335
0	230	0.0	-7.139890298757599	-6.321654531176724	-8.973282119260027	-7.747755630844216	-4.910147586154809	-6.645269018622204	-11.205440765222267	-6.361061755059077	-7.6552763925502445	-15.454887817099364	-7.005403981597575	-6.5125920815545895	-7.586706474684514	-6.712557978345505	-5.107220195752941	-13.454249906519607	-7.762143479830074	-7.358284407536057	-11.031959718818362
