Run	fMCS	C00001	C00002	C00003	C00004	C00008	C00009	C00010	C00011	C00024	C00026	C00036	C00042	C00091	C00122	C00149	C00158	C00311	C00390	C00399	C00417
0	0	0.0	-7.170782072873786	-6.318499471576333	-9.08312022845215	-7.766466727261112	-4.438110171342507	-6.47202792678528	-11.205440765222267	-5.976643326047545	-7.610059053487751	-15.639380081110563	-7.2903712287155855	-6.568654713730454	-7.577172261143225	-6.73227372845305	-4.848439215459212	-13.219645500210882	-7.600902459542082	-7.600902459542082	-10.622896576285
0	10	0.0	-7.482929999050972	-6.1290306569165764	-9.172707280128755	-7.338177355484912	-4.44342399460584	-6.234826054265575	-11.205440765222267	-6.284519868287663	-7.491182850962653	-15.673293991817934	-6.975677896267982	-6.589574735343648	-7.6983136905037455	-6.610595667546677	-4.772587953735354	-13.179472060039314	-7.693281006396733	-7.391995159744161	-10.210325334110362
0	20	0.0	-7.370667050483472	-6.110748647069098	-8.837997333370613	-7.330151152733937	-4.5635075495195885	-6.370487035367525	-11.205440765222267	-6.456556880423499	-7.6307872869495	-15.894560762178813	-7.123014371013816	-6.379662637039541	-7.658340954485337	-6.576944180870999	-5.237454586648571	-13.295948928858584	-7.585306579495128	-7.609689674570438	-10.362009757947888
0	30	0.0	-7.311718942425115	-6.114814766102228	-8.660295312175364	-7.031710753709687	-4.273322709893892	-6.7493061056526065	-11.205440765222267	-6.102957803610936	-7.644787658835452	-15.639932770310665	-6.954555245644272	-6.043724936879042	-7.837261670961922	-6.491507058213344	-5.202663846105697	-13.105488096567369	-7.566410333833982	-7.853643071915356	-10.506778743789232
0	40	0.0	-7.154476912642875	-6.029645039575119	-8.5594546934027	-7.192921210516632	-4.4250034897291215	-6.7959488566946895	-11.205440765222267	-6.555340467098438	-7.76266944784973	-15.782291939955906	-6.958752179784405	-5.982920195989837	-7.85704432771145	-6.522431639207739	-5.115947185218066	-13.218292086769651	-7.668166524323563	-7.853370921288823	-10.482596213068051
0	50	0.0	-7.141462615976041	-5.920778173973526	-8.625331808023743	-7.221462000321897	-4.431252513121834	-6.868151820516748	-11.205440765222267	-6.582875510168504	-7.617994932384153	-15.897400083577661	-6.961258197096194	-5.9880468572171255	-7.871502560054318	-6.535460064201791	-5.127403939233653	-13.133438714425505	-7.621121789255506	-8.013543943217048	-10.481820430568659
0	60	0.0	-7.0651024397383555	-6.000906532452987	-8.644216311522186	-7.408176299867602	-4.226812703851724	-6.8400769886179065	-11.205440765222267	-6.500472505655257	-7.508400027868593	-15.713091531423602	-7.134004160158931	-6.024123117878942	-7.913136109254761	-6.717262459594875	-5.190938186123649	-13.090124843384658	-7.599342664399711	-7.993500563633816	-10.55343173647913
0	70	0.0	-6.912236384492867	-6.1237058064484255	-8.7478775383351	-7.616036095274254	-4.43537521601415	-6.74190651501508	-11.205440765222267	-6.238934663561577	-7.578529093626677	-15.562465153991354	-7.0485197894390135	-6.039931065743627	-8.037151738918023	-6.704407512291456	-5.172617399749136	-12.918843578789739	-7.785959114404008	-8.062928019069494	-10.64456688509663
0	80	0.0	-6.844351869192156	-6.536437218916934	-8.788848471597207	-8.007240171270514	-4.477907827960864	-6.330071154864116	-11.205440765222267	-6.574802476066287	-7.560831883438735	-15.121588868445366	-7.146909673667245	-5.972837826178991	-7.731339044590407	-6.438883917601033	-4.812616679426915	-12.7972643002045	-7.822747749554291	-7.823143277401782	-9.961936413326548
0	90	0.0	-6.628432222967727	-6.409833615356769	-9.182144952533037	-7.679980152865027	-4.53673341451801	-6.445583137022917	-11.205440765222267	-6.302864827864534	-7.527430691647633	-15.158697458533672	-7.034760467769366	-6.0214450679964475	-7.630075304892817	-6.641930931791788	-4.758166652816286	-12.831054563769333	-7.5921122167080615	-8.107546358866156	-10.28648791060523
