Run	fMCS	C00001	C00002	C00003	C00004	C00008	C00009	C00010	C00011	C00024	C00026	C00036	C00042	C00091	C00122	C00149	C00158	C00311	C00390	C00399	C00417
0	0	0.0	-7.170782072873786	-6.318499471576333	-9.08312022845215	-7.766466727261112	-4.438110171342507	-6.47202792678528	-11.205440765222267	-5.976643326047545	-7.610059053487751	-15.639380081110563	-7.2903712287155855	-6.568654713730454	-7.577172261143225	-6.73227372845305	-4.848439215459212	-13.219645500210882	-7.600902459542082	-7.600902459542082	-10.622896576285
0	10	0.0	-7.201906106174073	-6.344477904955933	-9.088307629986936	-7.7651646528222615	-4.42145009458267	-6.484538277818814	-11.205440765222267	-6.0040517262285364	-7.5845166706258444	-15.629203492654026	-7.2815765517011535	-6.549970494554533	-7.584304572969491	-6.697022116344847	-4.864825693821545	-13.243223186161961	-7.606539866796514	-7.556773663644687	-10.631011982767005
0	20	0.0	-7.196744169147206	-6.429450318388504	-8.944745950006073	-7.742151182575383	-4.426324890297768	-6.523509932121564	-11.205440765222267	-6.0266962253294345	-7.643235224231359	-15.683615114300416	-7.2107962526050455	-6.481049869635586	-7.596396673742276	-6.718770614246753	-4.795296852997127	-13.25304857356102	-7.459606446800698	-7.637448125664853	-10.622864916060593
0	30	0.0	-7.230532325803789	-6.468639796563394	-8.963031681710856	-7.77770600339157	-4.422423426163871	-6.553665255648373	-11.205440765222267	-6.089333496651852	-7.658159919538329	-15.635429680969509	-7.1817740307031945	-6.483946563468582	-7.592509692469095	-6.71876131475371	-4.773388073726095	-13.252137097692144	-7.452970948303433	-7.714669808895495	-10.647739455976271
0	40	0.0	-7.24247107803283	-6.456584125747872	-8.972457657408853	-7.793696428269117	-4.437945251682365	-6.4689128943796605	-11.205440765222267	-6.119541053446045	-7.611531198146607	-15.588222828470144	-7.2312160621980475	-6.382607874294927	-7.595977427626331	-6.713419782692816	-4.791786322312589	-13.201605625274814	-7.462491186736254	-7.661246851681071	-10.579347514391467
0	50	0.0	-7.2695849773681855	-6.448336930305318	-9.007010811935151	-7.839860317685191	-4.411586980009864	-6.501085331127991	-11.205440765222267	-6.211876867242738	-7.63194174500213	-15.559023601171718	-7.282177948087754	-6.3979099534689885	-7.590351693097547	-6.717933124653907	-4.8115154639868605	-13.224938284597606	-7.473824605248784	-7.689484104895774	-10.617419702030459
0	60	0.0	-7.261990312813893	-6.3778746910002555	-8.980214781092874	-7.879444381196501	-4.373159435375234	-6.546243202815262	-11.205440765222267	-6.223974657482385	-7.623415008718054	-15.586864650469792	-7.251353979509202	-6.342944844100809	-7.611408718941197	-6.722485600018031	-4.778266123888864	-13.212339185120948	-7.448268298382607	-7.6358089479961535	-10.606049278315004
0	70	0.0	-7.2313731640537835	-6.418159008702399	-8.984332473669465	-7.840195330703148	-4.353251739434091	-6.570532618294127	-11.205440765222267	-6.24453137656779	-7.626132285435003	-15.628542090945821	-7.247341011785028	-6.330312659425886	-7.618835411006575	-6.7249589716508815	-4.79299017292527	-13.14523641385909	-7.465792910113715	-7.606875983987825	-10.68644784399233
0	80	0.0	-7.126287422471998	-6.336565415761182	-8.934749136178763	-7.869207095747444	-4.63894582443878	-6.279495322417172	-11.205440765222267	-6.261935095702394	-7.775601366398137	-15.72274650691762	-6.956736109837429	-6.195691995676181	-7.606254977102417	-6.724502211544871	-4.711273081723952	-13.035763444992913	-7.5320349148569825	-7.926128817387373	-10.808937332991716
0	90	0.0	-7.106927948720906	-6.310679824522113	-8.97513853695435	-7.838265738408891	-4.597546915176539	-6.2178868241943634	-11.205440765222267	-6.267483140271953	-7.829634985194274	-15.72378178687409	-6.975347400308822	-6.227456002963409	-7.58040401464811	-6.697121295702675	-4.754266084908028	-13.08099765098579	-7.543373340314062	-7.92306149372799	-10.713889426652846
0	100	0.0	-7.160755516903444	-6.422759969418316	-9.065904060273592	-7.811236245860585	-4.615273137287187	-6.196471641438508	-11.205440765222267	-6.223624944486597	-7.790522254344145	-15.70790173192162	-6.976546208924688	-6.180672429848607	-7.58318513151678	-6.691970050819602	-4.764239522238279	-13.114883038433293	-7.466069493276626	-7.824248691533365	-10.785832593275689
0	110	0.0	-7.141563278932949	-6.4250231082184985	-9.147301422787253	-7.759688222056678	-4.649011757718765	-6.219589823989109	-11.205440765222267	-6.2672013752957065	-7.77061760270585	-15.728934972839701	-6.969163486350463	-6.194252073186076	-7.5825669636463315	-6.731720002239895	-4.766404377878451	-13.09686407321235	-7.464091096395923	-7.838362509538713	-10.74938945891928
0	120	0.0	-7.122543131858582	-6.439357184918519	-9.102016027832958	-7.742262761995139	-4.682325883094772	-6.259989525603259	-11.205440765222267	-6.19803610488296	-7.886284313518512	-15.7647237004753	-6.911920343338468	-6.151237170602393	-7.579000664689009	-6.706190325517705	-4.771597079220816	-13.131913856593087	-7.475579618316839	-7.821506683703799	-10.733300940472288
0	130	0.0	-7.071911679347408	-6.342267404650112	-9.07581362248552	-7.78875713913522	-4.704170874584885	-6.339128869892759	-11.205440765222267	-6.165480119809127	-7.872363412542539	-15.812518350704234	-6.912036339209939	-6.188246794328181	-7.6057933286267145	-6.717959801314043	-4.7624501340630685	-13.157502831721096	-7.452708785545034	-7.804820458614123	-10.789181984596503
0	140	0.0	-7.098307650491984	-6.293148370980009	-9.046403129632457	-7.70082218706501	-4.665723502816394	-6.337645324788995	-11.205440765222267	-6.130938390388291	-7.824735960948183	-15.767834209060927	-6.926989914233551	-6.185376801902036	-7.585506880748999	-6.711408179663227	-4.802405272864405	-13.131427498882301	-7.482579318122991	-7.783264309883859	-10.783184884797526
0	150	0.0	-7.080525055713556	-6.345979547209448	-9.026061431066395	-7.707963446237211	-4.743351806021996	-6.308188567779933	-11.205440765222267	-6.152022034274789	-7.814383422487129	-15.796377931319899	-6.841365617765498	-6.173428982866263	-7.590376290902385	-6.727556461951302	-4.800565871482721	-13.081734405043232	-7.44849098263353	-7.810110419917098	-10.730283889136961
