Run	fMCS	C00001	C00002	C00003	C00004	C00008	C00009	C00010	C00011	C00024	C00026	C00036	C00042	C00091	C00122	C00149	C00158	C00311	C00390	C00399	C00417
0	0	0.0	-7.170782072873786	-6.318499471576333	-9.08312022845215	-7.766466727261112	-4.438110171342507	-6.47202792678528	-11.205440765222267	-5.976643326047545	-7.610059053487751	-15.639380081110563	-7.2903712287155855	-6.568654713730454	-7.577172261143225	-6.73227372845305	-4.848439215459212	-13.219645500210882	-7.600902459542082	-7.600902459542082	-10.622896576285
0	10	0.0	-7.350856515806711	-6.102689946393666	-9.094373223367004	-7.715155331477206	-4.110050912915086	-6.505383292248831	-11.205440765222267	-6.110165966914033	-7.934720073908142	-15.741219993026066	-7.588651310189075	-6.286806418463065	-7.59496461846795	-6.71707286522881	-4.5664714956031816	-13.167872001905131	-7.607295168554958	-7.670889255386138	-10.418092081571572
0	20	0.0	-7.3346710568972675	-6.140887058730279	-9.06784916443829	-7.672398908122517	-4.121664746407362	-6.428531250205036	-11.205440765222267	-6.104896708791662	-7.885303827561533	-15.702390111162174	-7.626012866693025	-6.299187348218865	-7.584724005791452	-6.71520222929412	-4.597898831718258	-13.188502441662513	-7.6558091379222315	-7.690329445880484	-10.376564216366702
0	30	0.0	-7.415991663012713	-6.159902601411001	-9.099215630184444	-7.633933032565047	-4.16664261392854	-6.5004273264538925	-11.205440765222267	-6.072547510443502	-7.887731288709615	-15.75736594177728	-7.5621020270953485	-6.259279422876961	-7.579469023083939	-6.684539396125196	-4.581938805369694	-13.210697894268288	-7.639276137738863	-7.683127396747467	-10.412932375201441
0	40	0.0	-7.4338301998542375	-6.192239614803564	-9.095385249941451	-7.554168293222892	-4.074094982828134	-6.486052257775885	-11.205440765222267	-6.080632834684701	-7.815583334691063	-15.785398309720291	-7.658447777065751	-6.273715906719644	-7.598830798887407	-6.7156806735671415	-4.624917833515245	-13.167674791642666	-7.571095302142442	-7.712639635486931	-10.511275823879325
0	50	0.0	-7.420536973489314	-6.200806847030395	-9.105314888179683	-7.607171720893655	-4.061249006455212	-6.507852083906718	-11.205440765222267	-6.044787954872109	-7.814084271712744	-15.759703585889563	-7.6751450163599175	-6.296963949177532	-7.608724911728272	-6.729240801186383	-4.64699791359184	-13.188066498705059	-7.558905012702632	-7.7231772565721934	-10.478529787690485
0	60	0.0	-7.402465160497446	-6.190323051989651	-9.0865510361299	-7.593613596426391	-4.06274276711716	-6.514571304478502	-11.205440765222267	-6.047457542425559	-7.8076502008731365	-15.740309151606674	-7.657271880359109	-6.300509942531108	-7.585177187343493	-6.705306204485859	-4.648063959256273	-13.188461578278261	-7.540392041720424	-7.7099969435619835	-10.454466708352866
0	70	0.0	-7.376929170431202	-6.198888025040568	-9.03816096276704	-7.587926147059386	-4.071866890473146	-6.483999996942501	-11.205440765222267	-6.053280619190692	-7.767462138302103	-15.784860575660367	-7.593523914255763	-6.296479324666851	-7.584319844861453	-6.7155024920913275	-4.709666175893228	-13.250140571977983	-7.606231750326768	-7.680964300445813	-10.45514177506643
0	80	0.0	-7.3732258222258	-6.156067894680584	-9.034717711892391	-7.586694615188489	-4.0012691778043825	-6.465759595056331	-11.205440765222267	-6.106341999172145	-7.740290903082508	-15.73587156292794	-7.588384916905492	-6.339420226923781	-7.583051579064492	-6.708651245128673	-4.730828191904654	-13.195290564154474	-7.613222801994385	-7.687896812854076	-10.426267432084355
0	90	0.0	-7.367722026806232	-6.15466368851974	-9.032767931097844	-7.584051661285321	-3.9807502613912455	-6.46314916662397	-11.205440765222267	-6.094311344751444	-7.724318742342387	-15.722223030084393	-7.580200450575404	-6.316102468615158	-7.579954115881163	-6.692193606569793	-4.740818120678507	-13.201516046632245	-7.62075743606702	-7.691115528711439	-10.427243581956768
0	100	0.0	-7.387244741775716	-6.1713762799184675	-9.043496886499218	-7.60126154230852	-3.958055704208541	-6.453142252087866	-11.205440765222267	-6.132172447260439	-7.749185923537287	-15.703423426535258	-7.561376649725408	-6.262171278791241	-7.581723406677513	-6.69591580451448	-4.735660772202843	-13.240805286711645	-7.598873010723765	-7.713060870966705	-10.395130820141448
0	110	0.0	-7.477024547459205	-6.1752712774565985	-9.128994154680468	-7.6040192804265585	-3.9239623948786897	-6.427612549128223	-11.205440765222267	-6.132383689264868	-7.728265779106105	-15.765952508299394	-7.542922150834624	-6.258026579174021	-7.6047989681847685	-6.728656217268609	-4.709538879355633	-13.276317914459117	-7.605561140574446	-7.756247226542827	-10.479922966372579
0	120	0.0	-7.444189106816773	-6.098364244757406	-9.07132937740854	-7.633910789776055	-3.933564234121344	-6.470483201496684	-11.205440765222267	-6.151809152094717	-7.683041690847894	-15.778086241823777	-7.561973273681951	-6.285644508810612	-7.578124454826243	-6.7039554820888325	-4.741390401021256	-13.184808609141397	-7.647718825866493	-7.730071132255307	-10.42676194028772
0	130	0.0	-7.495297089418518	-6.131794822912018	-9.04128790642958	-7.680800088054238	-3.950752187712378	-6.47925553230617	-11.205440765222267	-6.105593925843027	-7.682602831107547	-15.815092881223542	-7.612160585297212	-6.24686507252963	-7.613303968101283	-6.71907208726425	-4.703316771336753	-13.199088650371621	-7.589167754275086	-7.717598813002074	-10.466314441529125
0	140	0.0	-7.479404083978249	-6.144382024676389	-9.017608543664778	-7.672758686862667	-3.9462543585808803	-6.50445032685948	-11.205440765222267	-6.121870634770555	-7.668991243559362	-15.766692931495532	-7.575221730020493	-6.215524213614639	-7.588575739133622	-6.692715460927832	-4.6825087652685164	-13.181072494564889	-7.580344789333231	-7.712148172422407	-10.43891468570778
0	150	0.0	-7.475873531456074	-6.1352497542799105	-9.037058616624927	-7.709445272924944	-3.9473689265402543	-6.476933463421442	-11.205440765222267	-6.144359212932347	-7.674856605183352	-15.774930620445762	-7.574071843014965	-6.2284917455354964	-7.599805366366754	-6.727413673404932	-4.6874197653325504	-13.146882455879654	-7.551273257123189	-7.722444388493187	-10.438210991732266
0	160	0.0	-7.44033993182118	-6.152506140098963	-9.062357278958418	-7.706654852234407	-3.9443873265626106	-6.43353656789963	-11.205440765222267	-6.113100605431159	-7.677832516305416	-15.742177881953284	-7.574734181862636	-6.180631716914809	-7.600100528591573	-6.706328308202103	-4.748905578898482	-13.105293733475062	-7.599422774277817	-7.6801398690698575	-10.47582854516095
0	170	0.0	-7.505197804138994	-6.116371262701894	-9.086374744582441	-7.604689831657227	-4.051785058604262	-6.332350060066839	-11.205440765222267	-6.099457750925729	-7.575984154413307	-15.758089291330636	-7.526612248350833	-6.26585279265504	-7.597227594278382	-6.710848690899953	-4.758215864396114	-12.958585609726132	-7.639873927664587	-7.737458888024668	-10.480840201317791
0	180	0.0	-7.465240822282753	-6.107971559154887	-9.05373289490562	-7.627901627893865	-4.06595776200235	-6.256534796572414	-11.205440765222267	-6.159112478002409	-7.594889840063446	-15.84968605373375	-7.535092442852479	-6.216743223707139	-7.6147675926274285	-6.720990618070445	-4.761062122426514	-12.96628389592478	-7.610715481822905	-7.736132352233117	-10.510444800140533
