Run	fMCS	C00001	C00002	C00003	C00004	C00008	C00009	C00010	C00011	C00024	C00026	C00036	C00042	C00091	C00122	C00149	C00158	C00311	C00390	C00399	C00417
0	0	0.0	-7.170782072873786	-6.318499471576333	-9.08312022845215	-7.766466727261112	-4.438110171342507	-6.47202792678528	-11.205440765222267	-5.976643326047545	-7.610059053487751	-15.639380081110563	-7.2903712287155855	-6.568654713730454	-7.577172261143225	-6.73227372845305	-4.848439215459212	-13.219645500210882	-7.600902459542082	-7.600902459542082	-10.622896576285
0	10	0.0	-7.168075390080687	-6.34819668356338	-9.063331268980734	-7.821334858053172	-4.4437957581426755	-6.452362267889356	-11.205440765222267	-5.950307270855816	-7.583193209029173	-15.686610958252835	-7.257564310314385	-6.593091290109293	-7.599434839625373	-6.725394270180906	-4.783054560984724	-13.244697814868454	-7.580979496924681	-7.583342886458408	-10.665017320957244
0	20	0.0	-7.202904806208105	-6.353417339734622	-8.977237681620602	-7.860078941595396	-4.462977756101168	-6.442232335111341	-11.205440765222267	-6.003028303467169	-7.626707551710683	-15.697826722993286	-7.251089490274061	-6.63868241169563	-7.5805917819725215	-6.712402916443958	-4.720217272700828	-13.28908797512075	-7.542056969209354	-7.529637690284466	-10.698568268233194
0	30	0.0	-7.252098244398925	-6.3436428862176895	-8.911248380423814	-7.877302643471573	-4.512245592330233	-6.451245711912701	-11.205440765222267	-6.043498118687355	-7.549610631462761	-15.688964948886731	-7.169108159303456	-6.647102603193748	-7.587824261074388	-6.710747531663993	-4.7289178946173	-13.368071600628289	-7.600947380061693	-7.595117776689421	-10.657050702774619
0	40	0.0	-7.2379961388165945	-6.33634542460482	-8.93901522127612	-7.890554415866304	-4.523640478520285	-6.482843922881077	-11.205440765222267	-6.052552599515455	-7.528819922513878	-15.717333043381089	-7.152237516210356	-6.630637710097627	-7.585880380422541	-6.7128862649940135	-4.766674084225114	-13.41668145157314	-7.60071988441089	-7.562259361427532	-10.644590715584654
0	50	0.0	-7.242351684422006	-6.293390560399973	-8.95384835940879	-7.892616683765977	-4.5121322880683215	-6.46724656625981	-11.205440765222267	-6.056070769173395	-7.477135205172795	-15.689389878020629	-7.156740956577425	-6.625979377449123	-7.580424790990516	-6.690518215095177	-4.726745340521009	-13.466748935562658	-7.634278967730614	-7.562605426896858	-10.648148234851897
0	60	0.0	-7.244394423962754	-6.336733517973667	-8.961151700103434	-7.868430961714003	-4.466307583632816	-6.456037588682848	-11.205440765222267	-6.079637710727069	-7.535828723267272	-15.703526775809896	-7.204445969874225	-6.596880227526901	-7.585070242935971	-6.719723643611749	-4.679225726443131	-13.404100436369331	-7.587734915652416	-7.608094978472899	-10.689030465974797
0	70	0.0	-7.278090214707197	-6.272342980141659	-8.964609048675387	-7.89547345341728	-4.455929683970454	-6.401318648268907	-11.205440765222267	-6.048876947855306	-7.467016118341733	-15.691631707976153	-7.242592405193282	-6.6305137900454465	-7.585551584940212	-6.715905335634181	-4.616000097304862	-13.331499468485985	-7.604071061528005	-7.582584590855947	-10.645740280071186
0	80	0.0	-7.255222688195559	-6.261449724369745	-8.948729536404432	-7.950522494474457	-4.518560834503646	-6.3884051652915606	-11.205440765222267	-6.081801485056587	-7.446413592830339	-15.647949129292618	-7.283659234530419	-6.633099383823005	-7.603170391496653	-6.719229701009024	-4.5821481534410475	-13.26340280795905	-7.6402508609894	-7.6445334308041195	-10.682024551177758
0	90	0.0	-7.274022443867903	-6.257244539473877	-9.028763980490531	-7.948157085606048	-4.5369068645107715	-6.376811105551469	-11.205440765222267	-6.107643400073307	-7.442818882761981	-15.668115839765886	-7.326102746219817	-6.6488047873618665	-7.604744818018753	-6.717979353866866	-4.571307292488864	-13.223933912096149	-7.553595880051124	-7.612018287262275	-10.673487492038364
