pct1	12.4
pcc	-13.1
epi	0.2
mcm	-8.4
suc	1.2
frd	11.9
fum	-3.4
mdh	26.5
pcb	15.2
por	-20.9
pct2	-5.3
hdr	63.9
fdo	15.5
oxlT	-43.2
ATPase	-30.15
oxaD	-14.4
nuo	-46.2
fix	-46.2
