R74	59.8
R234	4.1
R231	-0.0
R280	18.5
R200	-26.3
R15	-86.4
R277	-41.6
R233	18.8
R71	16.3
R53	21.6
R294	4.9
R505	-2.8
R422	-10.3
R287	-13.6
R544	-18.3
R293	-3.0
R425	2.0
R507	-29.3
R77	-44.0
R531	36.6
R494	-20.1
R428	10.3
R223	-2.4
R36	-36.2
R238	-4.1
R218	26.5
R432	-26.6
R20	-73.0
R228	-20.4
R419	-12.6
R199	-14.3
R421	-18.1
R291	-35.5
R76	-17.4
R183	-48.3
R298	3.2
R496	-43.3
R429	3.4
R207	-20.8
R503	-31.3
R3	0.3
R8	-12.7
R292	1.3
R47	-28.0
R1	0.6
R5	-130.4
R14	-5.8
R290	-35.5
R424	2.8
R10	-47.9
R517	5.5
R431O	-520.1
R282	-42.1
R515	-43.1
R430	0.2
R510	-2.1
R431C	-35.7
R7	-72.1
R6	-5.3
R29	26.8
R70	25.0
R297	3.2
R11	-85.8
R45	13.0
R30	-1.6
R427	4.4
R73	-13.6
R433	-7.8
R13	-60.8
R423	-28.9
R220	-10.1
R508	8.3
R219	-11.8
R289	-13.6
R66	-28.2
R69	-15.7
R509	-0.7
R278	8.4
R4	-68.7
R17	-30.0
R504	-22.3
R201	-20.1
R288	0.0
R279	-23.4
R65	-24.7
R182	-7.9
R208	-65.3
R520	-29.3
R72	-121.6
R230	-5.6
R9	-12.2
R21	-22.8
R546	10.2
R295	-33.8
R41	4.3
R19	-21.1
R512	-3.4
R206	-8.1
R300	-19.9
R46	-12.8
R224	-10.5
R68	-38.3
R75	-1.7
R44	-29.9
R299	12.6
